ORF	GPL51-01 (GSM854) heat shock 05 min	GPL51-02 (GSM855) heat shock 10 min	GPL51-03 (GSM856) heat shock 15 min	GPL51-05 (GSM864) heat shock 20 min repeat	GPL51-06 (GSM865) heat shock 40 min	GPL51-07 (GSM868) heat shock 60 min	GPL51-08 (GSM872) heat shock 80 min
RPB3	0.0	0.0	0.0	0.0	0.0	0.0	0
YKE4	0.0	0.0	0.0	0.0	0.0	0.0	0.0
YIL025C	0.0	0	0.0	0	0	0	0
KRE27	0.0	0.0	0.0	0.0	0.0	0.0	0.0
POR2	0.0	0.0	0.0	0.0	0.0	0.0	0.0
HIS5	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RHO3	0.0	0.0	0.0	0.0	0.0	0.0	0.0
QDR1	0	0	0.0	0.0	0	0.0	0
POG1	0	0.0	0.0	1.09	0.0	0.0	0.0
AYR1	0.0	2.069	2.127	2.222	1.067	0.0	0.0
MGA2	0.0	-1.449	-1.046	0.0	0.0	0.0	0.0
YIR035C	0.0	0.0	0.0	0.0	-1.037	0.0	0.0
HYR1	0.0	1.555	1.299	1.364	1.112	0.0	0.0
YPS6	1.505	2.644	3.609	3.494	2.93	1.673	1.217
PAU15	0.0	1.088	0.0	0.0	0.0	0.0	0
YIR043C	0.0	1.2	0.0	0.0	0.0	0.0	0.0
YJL086C	0	0.0	0.0	0.0	0.0	0	0
ARG3	0	0	1.351	1.237	1.08	0	0
DPB11	0.0	0.0	0.0	0.0	0.0	0.0	0
SRS2	0.0	-1.568	0.0	0.0	0.0	0.0	0
KHA1	0.0	0.0	0.0	0.0	0.0	0.0	0
MRPL49	0.0	0.0	0.0	0.0	0.0	0.0	0
YJL182C	1.062	0	0.0	0	0.0	0	0
GON7	0.0	0.0	0.0	0.0	0.0	0.0	0
MNN5	0.0	0.0	0.0	0.0	0.0	0.0	0
YJL188C	0.0	0.0	-1.92	-1.578	-1.201	0.0	0.0
RPS22A	0.0	0.0	-2.167	-2.635	-1.766	0.0	0.0
SOP4	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BFA1	0.0	-1.217	-1.013	0	0.0	0.0	0.0
HIT1	0.0	0.0	-1.445	-1.042	0.0	0.0	0.0
CDC8	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PTK2	1.733	2.127	2.609	2.597	1.312	0.0	1.042
YJR061W	0.0	0.0	0.0	0.0	0.0	0	0.0
